5 6 7
########################################
#                                      #
#                                 #    #
# #                      #             #
#             M                        #
#        #                             #
#                     P         #      #
#                                      #
#         #                            #
##                       #             #
#   G                                  #
#                             #        #
#      #                               #
#                                      #
#                  L            #      #
#      #                               #
#                     #                #
#            #                         #
#                                      #
#                               #      #
#      #    M    #                     #
#                                      #
#                           #          #
#                  #                   #
#                                      #
#         #    S                       #
# G                     P        E     #
#                            #         #
#     #                                #
########################################
