6 7 8
########################################
#                                      #
#                                 #    #
# #             P        #             #
#                      E               #
#        #                             #
#                               #      #
#                                      #
#         #                            #
##                       #             #
#                                      #
#                             #        #
#      #                               #
#         G                            #
#                  L            #      #
#      #                               #
#                     #                #
#            #                         #
#                                      #
#                               #      #
#      #         #                     #
#                                      #
#                           #          #
#                  #                   #
#         P                            #
#         #    S                       #
#                                      #
#                            #         #
#     #                                #
########################################
