8 8 9
########################################
#                                      #
#    M                            #    #
# #                  P   #             #
#                                      #
#        #                             #
#                               #      #
#                                      #
#         #                            #
##                       #             #
#                                      #
#                             #        #
#      #                               #
#  M                       P           #
#                  L            #      #
#      #                               #
#                     #                #
#            #                         #
#                                      #
#                               #      #
#      #         #                     #
#   G                                  #
#                           #          #
#                  #             M     #
#                                      #
#         #    S                       #
#                                E     #
#  G                         #         #
#     #                                #
########################################
